RegName,energy_cost,weight
Argyll and Bute,1009.3690999999999,182.95
Na h-Eileanan Siar,5041.218199999999,45.14
Perth and Kinross,5114.085409090909,294.28
Aberdeenshire,8341.622,386.89
Moray,3395.4315999999994,222.19
Scottish Borders,6931.373181818181,302.69
South Lanarkshire,3647.3620909090905,400.66
Shetland Islands,8598.579399999999,38.82
Fife,7333.4838,417.42
Orkney Islands,3133.236409090909,40.48
Stirling,2462.7419318181815,185.98
Na h-Eileanan Siar,3036.8037999999997,52.83
Aberdeenshire,8341.622,472.26
Angus,3721.3729999999996,245.99
Highland,4159.8716,334.34
Shetland Islands,12855.006749999999,35.94
East Lothian,5344.621799999999,191.06
"Edinburgh, City of",4518.978272727272,341.78
Stirling,7017.3998505882355,165.48
North Ayrshire,5938.34082882353,318.72
Aberdeenshire,1009.3690999999999,404.03
Fife,8341.622,417.42
Argyll and Bute,3010.0483999999997,158.99
Dundee City,6343.724863636364,245.91
Aberdeen City,5705.463136363635,341.67
Dundee City,3836.2300227272726,250.09
"Edinburgh, City of",2462.7419318181815,351.5
Argyll and Bute,9261.454704545455,194.66
Dumfries and Galloway,3433.7202272727272,272.12
Aberdeenshire,6185.6376,399.05
Argyll and Bute,6228.379568181818,163.4
West Lothian,5093.8063999999995,356.03
Orkney Islands,10064.60959090909,49.6
Highland,9455.11759090909,419.82
Aberdeen City,1009.3690999999999,332.23
Perth and Kinross,8341.622,234.56
Argyll and Bute,4046.1424772727273,196.11
West Dunbartonshire,1056.6440400000001,211.6
South Ayrshire,13386.713931818182,238.38
Na h-Eileanan Siar,5775.080599999999,51.53
Angus,6765.96386,263.94
Shetland Islands,3769.6334318181816,46.81
Argyll and Bute,6140.736139999999,182.15
Falkirk,2898.5500227272723,344.61
Argyll and Bute,2462.7419318181815,167.71
Shetland Islands,7497.7065999999995,36.07
Na h-Eileanan Siar,3309.051409090909,51.18
Orkney Islands,6727.4673999999995,47.24
South Lanarkshire,2870.845840909091,485.13
North Ayrshire,4992.8796136363635,330.6
Stirling,8341.622,140.96
Stirling,4361.86555,176.85
West Dunbartonshire,3872.991340909091,229.06
Aberdeenshire,6326.1363999999985,432.9
Falkirk,3084.754090909091,370.82
Shetland Islands,8341.622,38.82
Aberdeen City,1556.00315,341.67
Orkney Islands,2462.7419318181815,51.76
Shetland Islands,6272.082711176471,34.01
Glasgow City,2462.7419318181815,461.49
Argyll and Bute,6287.3872,168.2
Dumfries and Galloway,6705.642019999999,260.5
Shetland Islands,4991.547681818181,35.94
Highland,8341.622,382.74
Aberdeenshire,4965.441818181818,485.38
West Lothian,4121.58482,291.63
Orkney Islands,3341.5253999999995,48.43
Glasgow City,2462.7419318181815,555.41
Shetland Islands,5085.582068181819,39.8
"Edinburgh, City of",2462.7419318181815,385.64
Orkney Islands,16859.592954545453,47.24
Aberdeenshire,6822.687545454544,385.46
North Lanarkshire,2597.000659090909,395.11
Na h-Eileanan Siar,8376.252818181818,47.89
Clackmannanshire,2782.938340909091,104.41
Fife,4986.5212,387.92
South Lanarkshire,2946.233181818182,395.2
Glasgow City,3128.175068181818,398.5
Na h-Eileanan Siar,8341.622,45.14
Aberdeenshire,6370.896272727273,391.45
Shetland Islands,4070.9066,38.82
Highland,5835.45872,409.09
Midlothian,4377.558849999999,162.25
Shetland Islands,8206.298318181818,35.94
Argyll and Bute,7543.758476470588,182.15
Aberdeenshire,8289.943636363636,413.48
"Edinburgh, City of",3300.5270454545453,452.69
Orkney Islands,7876.2456136363635,43.74
Orkney Islands,5865.561340909091,46.27
East Dunbartonshire,2931.848318181818,235.29
